temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2024,2,perez,3,88638.0,88467.0,87807.0,2,jeddah,red_bull,5,2,1,44,1,335.0,18,2.0,0,2.0,2.0,0,3.0,0.0,25.53,31.59,62.34,0,0.0
2024,2,piastri,5,88755.0,88343.0,88089.0,4,jeddah,mclaren,8,8,4,12,0,617.0,4,8.0,0,8.0,8.0,0,0.0,0.0,25.53,31.59,62.34,0,0.0
2024,2,ricciardo,14,89065.0,89025.0,,16,jeddah,rb,14,13,8,0,0,,0,13.0,0,13.0,13.0,0,1.0,0.0,25.53,31.59,62.34,0,0.0
2024,2,russell,7,88749.0,88448.0,88316.0,6,jeddah,mercedes,3,5,3,16,0,844.0,10,5.0,0,5.0,5.0,0,-2.0,0.0,25.53,31.59,62.34,0,0.0
2024,2,sargeant,19,89526.0,,,14,jeddah,williams,18,20,9,0,0,,0,20.0,0,20.0,20.0,0,-2.0,0.0,25.53,31.59,62.34,0,0.0
2024,2,stroll,10,88250.0,88578.0,88572.0,19,jeddah,aston_martin,12,10,5,3,0,1100.0,1,10.0,0,10.0,10.0,0,2.0,0.0,25.53,31.59,62.34,0,0.0
2024,2,tsunoda,9,88988.0,88564.0,88547.0,15,jeddah,rb,11,14,8,0,0,1075.0,0,14.0,0,14.0,14.0,0,-3.0,0.0,25.53,31.59,62.34,0,0.0
2024,2,zhou,20,,,,18,jeddah,sauber,17,11,6,0,0,,0,11.0,0,11.0,11.0,0,6.0,0.0,25.53,31.59,62.34,0,0.0
2024,3,albon,12,77130.0,77167.0,,11,albert_park,williams,12,11,7,0,0,,0,13.0,0,13.0,13.0,0,-0.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,alonso,10,76991.0,76710.0,77552.0,8,albert_park,aston_martin,4,5,5,13,0,1637.0,12,7.0,0,7.0,7.0,0,-2.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,bottas,13,77543.0,77340.0,,14,albert_park,sauber,16,17,8,0,0,,0,20.0,0,18.0,18.0,0,-2.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,gasly,17,77982.0,,,13,albert_park,alpine,18,20,10,0,0,,0,21.0,0,18.0,18.0,0,2.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,hamilton,11,77499.0,76960.0,,18,albert_park,mercedes,8,9,4,26,0,,8,9.0,0,8.0,8.0,0,0.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,hulkenberg,16,77976.0,,,9,albert_park,haas,15,10,6,1,0,,1,11.0,0,13.0,13.0,0,-0.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,kevin_magnussen,14,77709.0,77427.0,,10,albert_park,haas,13,12,6,1,0,,0,15.0,0,12.0,12.0,0,2.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,leclerc,5,76984.0,76304.0,76435.0,2,albert_park,ferrari,2,3,2,49,0,520.0,28,3.0,0,3.5,3.5,0,-1.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,max_verstappen,1,76819.0,76387.0,75915.0,19,albert_park,red_bull,1,1,1,87,2,0.0,51,1.0,2,1.0,1.0,0,0.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,norris,4,77430.0,76750.0,76315.0,3,albert_park,mclaren,6,8,3,28,0,400.0,12,8.0,0,7.0,7.0,0,-0.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,ocon,15,77617.0,77697.0,,16,albert_park,alpine,17,13,10,0,0,,0,17.0,0,15.0,15.0,0,3.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,perez,3,76805.0,76631.0,76274.0,5,albert_park,red_bull,3,2,1,87,2,359.0,36,2.0,0,2.0,2.0,0,2.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,piastri,6,77369.0,76601.0,76572.0,4,albert_park,mclaren,5,4,3,28,0,657.0,16,5.0,0,6.0,6.0,0,0.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,ricciardo,18,78085.0,,,12,albert_park,rb,14,16,9,0,0,,0,16.0,0,14.5,14.5,0,-0.5,0.0,20.62,38.4,44.45,0,0.0
