temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,status,pontos_anterior_individual,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2020,1,albon,5,64661.0,63746.0,63868.0,13,red_bull_ring,red_bull,,,,,,,,929.0,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,bottas,1,64111.0,63015.0,62939.0,1,red_bull_ring,mercedes,,,,,,,,0.0,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,gasly,12,64603.0,64305.0,,7,red_bull_ring,alphatauri,,,,,,,,,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,giovinazzi,18,65175.0,,,9,red_bull_ring,alfa,,,,,,,,,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,grosjean,15,65094.0,64691.0,,16,red_bull_ring,haas,,,,,,,,,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,hamilton,2,64198.0,63096.0,62951.0,4,red_bull_ring,mercedes,,,,,,,,12.0,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,kevin_magnussen,16,65164.0,,,17,red_bull_ring,haas,,,,,,,,,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,kvyat,13,65031.0,64431.0,,12,red_bull_ring,alphatauri,,,,,,,,,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,latifi,20,65757.0,,,11,red_bull_ring,williams,,,,,,,,,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,leclerc,7,64500.0,64041.0,63923.0,2,red_bull_ring,ferrari,,,,,,,,984.0,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,max_verstappen,3,64024.0,64000.0,63477.0,20,red_bull_ring,red_bull,,,,,,,,538.0,,,,,,,,,28.68,52.02,33.83,0,0.0
2020,1,norris,4,64606.0,63819.0,63626.0,3,red_bull_ring,mclaren,,,,,,,,687.0,,,,,,,,,28.68,52.02,33.83,0,0.0
