temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,status,pontos_anterior_individual,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2019,1,albon,13,82757.0,82636.0,,14,albert_park,toro_rosso,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,bottas,2,82367.0,81193.0,80598.0,1,albert_park,mercedes,,,,,,,,112.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,gasly,17,83020.0,,,11,albert_park,red_bull,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,giovinazzi,14,82431.0,82714.0,,15,albert_park,alfa,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,grosjean,6,82959.0,81870.0,81826.0,18,albert_park,haas,,,,,,,,1340.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,hamilton,1,82043.0,81014.0,80486.0,2,albert_park,mercedes,,,,,,,,0.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,hulkenberg,11,82540.0,82562.0,,7,albert_park,renault,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,kevin_magnussen,7,82519.0,82221.0,82099.0,6,albert_park,haas,,,,,,,,1613.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,kubica,20,86067.0,,,17,albert_park,williams,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,kvyat,15,82511.0,82774.0,,10,albert_park,toro_rosso,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,leclerc,5,82017.0,81739.0,81442.0,5,albert_park,ferrari,,,,,,,,956.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,max_verstappen,4,82876.0,81678.0,81320.0,3,albert_park,red_bull,,,,,,,,834.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,norris,8,82702.0,82423.0,82304.0,12,albert_park,mclaren,,,,,,,,1818.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,perez,10,82908.0,82532.0,82781.0,13,albert_park,racing_point,,,,,,,,2295.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,raikkonen,9,82966.0,82349.0,82314.0,8,albert_park,alfa,,,,,,,,1828.0,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,ricciardo,12,82921.0,82570.0,,19,albert_park,renault,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,russell,19,84360.0,,,16,albert_park,williams,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,sainz,18,83084.0,,,20,albert_park,mclaren,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,stroll,16,83017.0,,,9,albert_park,racing_point,,,,,,,,,,,,,,,,,23.48,41.31,70.45,0,0.0
2019,1,vettel,3,82885.0,81912.0,81190.0,4,albert_park,ferrari,,,,,,,,704.0,,,,,,,,,23.48,41.31,70.45,0,0.0
