temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2022,1,albon,14,92726.0,92664.0,,13,bahrain,williams,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,alonso,8,92346.0,91621.0,92195.0,9,bahrain,alpine,,,,,,1637.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,bottas,6,91919.0,91717.0,91560.0,6,bahrain,alfa,,,,,,1002.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,gasly,10,92096.0,91635.0,92338.0,20,bahrain,alphatauri,,,,,,1780.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,hamilton,5,92285.0,91048.0,91238.0,3,bahrain,mercedes,,,,,,680.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,hulkenberg,17,92777.0,,,17,bahrain,aston_martin,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,kevin_magnussen,7,91955.0,91461.0,91808.0,5,bahrain,haas,,,,,,1250.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,latifi,20,93634.0,,,16,bahrain,williams,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,leclerc,1,91471.0,90932.0,90558.0,1,bahrain,ferrari,,,,,,0.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,max_verstappen,2,91785.0,90757.0,90681.0,19,bahrain,red_bull,,,,,,123.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,mick_schumacher,12,92380.0,91998.0,,11,bahrain,haas,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,norris,13,92239.0,92008.0,,15,bahrain,mclaren,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,ocon,11,92041.0,91782.0,,7,bahrain,alpine,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,perez,4,92311.0,91008.0,90921.0,18,bahrain,red_bull,,,,,,363.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,ricciardo,18,92945.0,,,14,bahrain,mclaren,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,russell,9,92269.0,91252.0,92216.0,4,bahrain,mercedes,,,,,,1658.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,sainz,3,91567.0,90787.0,90687.0,2,bahrain,ferrari,,,,,,129.0,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,stroll,19,93032.0,,,12,bahrain,aston_martin,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,tsunoda,16,92750.0,,,8,bahrain,alphatauri,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,1,zhou,15,92493.0,93543.0,,10,bahrain,alfa,,,,,,,,,,,,,,,23.62,28.61,29.49,0,0.0
2022,2,albon,17,90492.0,,,14,jeddah,williams,14,13,8,0,0,,0,13.0,0,13.0,13.0,0,1.0,0.0,25.42,28.41,59.66,0,0.0
2022,2,alonso,7,89978.0,89295.0,89147.0,16,jeddah,alpine,8,9,5,8,0,947.0,2,9.0,0,9.0,9.0,0,-1.0,0.0,25.42,28.41,59.66,0,0.0
2022,2,bottas,8,89683.0,89404.0,89183.0,15,jeddah,alfa,6,6,4,9,0,983.0,8,6.0,0,6.0,6.0,0,0.0,0.0,25.42,28.41,59.66,0,0.0
2022,2,gasly,9,89891.0,89418.0,89254.0,8,jeddah,alphatauri,10,20,6,4,0,1054.0,0,,0,,,0,,,25.42,28.41,59.66,0,0.0
2022,2,hamilton,16,90343.0,,,10,jeddah,mercedes,5,3,2,27,0,,15,3.0,0,3.0,3.0,0,2.0,0.0,25.42,28.41,59.66,0,0.0
