temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2018,1,alonso,11,83597.0,83692.0,,5,albert_park,mclaren,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,bottas,10,83686.0,82089.0,,8,albert_park,mercedes,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,brendon_hartley,16,84532.0,,,15,albert_park,toro_rosso,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,ericsson,17,84556.0,,,19,albert_park,sauber,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,gasly,20,85295.0,,,18,albert_park,toro_rosso,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,grosjean,7,83671.0,83468.0,83339.0,16,albert_park,haas,,,,,,2175.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,hamilton,1,82824.0,82051.0,81164.0,2,albert_park,mercedes,,,,,,0.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,hulkenberg,8,83782.0,83544.0,83532.0,7,albert_park,renault,,,,,,2368.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,kevin_magnussen,6,83909.0,83300.0,83187.0,17,albert_park,haas,,,,,,2023.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,leclerc,18,84636.0,,,13,albert_park,sauber,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,max_verstappen,4,83483.0,82416.0,81879.0,6,albert_park,red_bull,,,,,,715.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,ocon,15,84503.0,84786.0,,12,albert_park,force_india,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,perez,13,84344.0,84005.0,,11,albert_park,force_india,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,raikkonen,2,83096.0,82507.0,81828.0,3,albert_park,ferrari,,,,,,664.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,ricciardo,5,83494.0,82897.0,82152.0,4,albert_park,red_bull,,,,,,988.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,sainz,9,83529.0,83061.0,83577.0,10,albert_park,renault,,,,,,2413.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,sirotkin,19,84922.0,,,20,albert_park,williams,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,stroll,14,84464.0,84230.0,,14,albert_park,williams,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,vandoorne,12,84073.0,83853.0,,9,albert_park,mclaren,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,vettel,3,83348.0,81944.0,81838.0,1,albert_park,ferrari,,,,,,674.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,2,alonso,13,90530.0,90212.0,,7,bahrain,mclaren,10,5,4,12,0,,10,5.0,0,5.0,5.0,0,5.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,bottas,3,89275.0,88794.0,88124.0,2,bahrain,mercedes,15,8,2,22,0,166.0,4,8.0,0,8.0,8.0,0,7.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,brendon_hartley,11,90412.0,90105.0,,17,bahrain,toro_rosso,16,15,9,0,0,,0,15.0,0,15.0,15.0,0,1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,ericsson,17,91063.0,,,9,bahrain,sauber,17,19,7,0,0,,0,,0,,,0,,,27.98,32.2,47.36,0,0.0
2018,2,gasly,6,90121.0,89836.0,89329.0,4,bahrain,toro_rosso,20,18,9,0,0,1371.0,0,,0,,,0,,,27.98,32.2,47.36,0,0.0
2018,2,grosjean,16,90530.0,,,13,bahrain,haas,6,16,-,0,0,,0,,0,,,0,,,27.98,32.2,47.36,0,0.0
2018,2,hamilton,4,89396.0,88458.0,88220.0,3,bahrain,mercedes,1,2,2,22,0,262.0,18,2.0,0,2.0,2.0,0,-1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,hulkenberg,8,90260.0,89187.0,89570.0,6,bahrain,renault,7,7,5,7,0,1612.0,6,7.0,0,7.0,7.0,0,0.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,kevin_magnussen,7,89594.0,89623.0,89358.0,5,bahrain,haas,5,17,-,0,0,1400.0,0,,0,,,0,,,27.98,32.2,47.36,0,0.0
2018,2,leclerc,19,91420.0,,,12,bahrain,sauber,18,13,7,0,0,,0,13.0,0,13.0,13.0,0,5.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,max_verstappen,15,89374.0,,,19,bahrain,red_bull,4,6,3,20,0,,8,6.0,0,6.0,6.0,0,-2.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,ocon,9,90338.0,90009.0,89874.0,10,bahrain,force_india,14,12,6,0,0,1916.0,0,12.0,0,12.0,12.0,0,2.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,perez,12,90218.0,90156.0,,16,bahrain,force_india,12,11,6,0,0,,0,11.0,0,11.0,11.0,0,1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,raikkonen,2,88951.0,88515.0,88101.0,18,bahrain,ferrari,2,3,1,40,1,143.0,15,3.0,0,3.0,3.0,0,-1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,ricciardo,5,89552.0,88962.0,88398.0,20,bahrain,red_bull,8,4,3,20,0,440.0,12,4.0,0,4.0,4.0,0,4.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,sainz,10,89893.0,89802.0,89986.0,11,bahrain,renault,9,10,5,7,0,2028.0,1,10.0,0,10.0,10.0,0,-1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,sirotkin,18,91414.0,,,15,bahrain,williams,19,20,8,0,0,,0,,0,,,0,,,27.98,32.2,47.36,0,0.0
2018,2,stroll,20,91503.0,,,14,bahrain,williams,13,14,8,0,0,,0,14.0,0,14.0,14.0,0,-1.0,0.0,27.98,32.2,47.36,0,0.0
